stage,method,cv,n_subjects,fold,n_features,n_test_subjects,n_test_epochs,train_acc,test_acc,train_auc,test_auc
3,Riemannian TS 1-35Hz,LOSO,106,1,2080,1,45,0.9529860228716646,0.5333333333333333,0.9888729215555415,0.5770750988142292
3,Riemannian TS 1-35Hz,LOSO,106,2,2080,1,45,0.9523506988564168,0.6666666666666666,0.987892814341177,0.7035573122529645
3,Riemannian TS 1-35Hz,LOSO,106,3,2080,1,45,0.9512918254976704,0.4888888888888889,0.9886151119148601,0.5118577075098814
3,Riemannian TS 1-35Hz,LOSO,106,4,2080,1,45,0.9540448962304109,0.5333333333333333,0.9894538454362132,0.5691699604743083
3,Riemannian TS 1-35Hz,LOSO,106,5,2080,1,45,0.9563744176196527,0.6,0.9889301574224513,0.4702380952380953
3,Riemannian TS 1-35Hz,LOSO,106,6,2080,1,45,0.9567979669631512,0.4666666666666667,0.9902788360294306,0.3968253968253968
3,Riemannian TS 1-35Hz,LOSO,106,7,2080,1,45,0.9495976281236764,0.7111111111111111,0.9870671776213338,0.8616600790513833
3,Riemannian TS 1-35Hz,LOSO,106,8,2080,1,45,0.9570097416349005,0.4888888888888889,0.989172270376762,0.4881422924901185
3,Riemannian TS 1-35Hz,LOSO,106,9,2080,1,45,0.9559508682761542,0.5333333333333333,0.9895549291064584,0.5912698412698412
3,Riemannian TS 1-35Hz,LOSO,106,10,2080,1,45,0.9561626429479034,0.4888888888888889,0.989664187920855,0.5079365079365079
3,Riemannian TS 1-35Hz,LOSO,106,11,2080,1,45,0.9538331215586616,0.5333333333333333,0.9885629041170604,0.5731225296442688
3,Riemannian TS 1-35Hz,LOSO,106,12,2080,1,45,0.9540448962304109,0.4666666666666667,0.9885808440645075,0.5376984126984128
3,Riemannian TS 1-35Hz,LOSO,106,13,2080,1,45,0.9515036001694197,0.6666666666666666,0.9878319949478639,0.7055335968379447
3,Riemannian TS 1-35Hz,LOSO,106,14,2080,1,45,0.9536213468869124,0.5555555555555556,0.9882646370893156,0.6422924901185771
3,Riemannian TS 1-35Hz,LOSO,106,15,2080,1,45,0.9506565014824228,0.6444444444444445,0.988127659727156,0.7193675889328064
3,Riemannian TS 1-35Hz,LOSO,106,16,2080,1,45,0.9519271495129182,0.4888888888888889,0.9890949448288494,0.5770750988142292
3,Riemannian TS 1-35Hz,LOSO,106,17,2080,1,45,0.9527742481999153,0.5333333333333333,0.988318191277889,0.5296442687747036
3,Riemannian TS 1-35Hz,LOSO,106,18,2080,1,45,0.9521389241846675,0.5111111111111111,0.9886704616586383,0.6205533596837944
3,Riemannian TS 1-35Hz,LOSO,106,19,2080,1,45,0.9576450656501483,0.5111111111111111,0.9898853222530805,0.590909090909091
3,Riemannian TS 1-35Hz,LOSO,106,20,2080,1,45,0.9515036001694197,0.5111111111111111,0.9886962044392775,0.4980237154150198
3,Riemannian TS 1-35Hz,LOSO,106,21,2080,1,45,0.9567979669631512,0.4666666666666667,0.98996882087134,0.4345238095238095
3,Riemannian TS 1-35Hz,LOSO,106,22,2080,1,45,0.9519271495129182,0.6888888888888889,0.987974352317802,0.7134387351778657
3,Riemannian TS 1-35Hz,LOSO,106,23,2080,1,45,0.9523506988564168,0.6888888888888889,0.9879800934257676,0.7826086956521738
3,Riemannian TS 1-35Hz,LOSO,106,24,2080,1,45,0.9540448962304109,0.5777777777777777,0.9884377673764051,0.567193675889328
3,Riemannian TS 1-35Hz,LOSO,106,25,2080,1,45,0.9548919949174078,0.4,0.988614844675221,0.4644268774703557
3,Riemannian TS 1-35Hz,LOSO,106,26,2080,1,45,0.9523506988564168,0.6222222222222222,0.9882391587537751,0.7103174603174603
3,Riemannian TS 1-35Hz,LOSO,106,27,2080,1,45,0.952562473528166,0.5555555555555556,0.9882541425362583,0.658102766798419
3,Riemannian TS 1-35Hz,LOSO,106,28,2080,1,45,0.9580686149936467,0.5333333333333333,0.9901231413835747,0.6047430830039526
3,Riemannian TS 1-35Hz,LOSO,106,29,2080,1,45,0.947691656077933,0.7333333333333333,0.9868452496286251,0.9367588932806324
3,Riemannian TS 1-35Hz,LOSO,106,30,2080,1,45,0.9515036001694197,0.5333333333333333,0.9885689086730867,0.7162698412698413
3,Riemannian TS 1-35Hz,LOSO,106,31,2080,1,45,0.9515036001694197,0.7111111111111111,0.9876255800088879,0.8537549407114624
3,Riemannian TS 1-35Hz,LOSO,106,32,2080,1,45,0.9546802202456586,0.6444444444444445,0.9885611088465447,0.7003968253968255
3,Riemannian TS 1-35Hz,LOSO,106,33,2080,1,45,0.9491740787801779,0.7333333333333333,0.9870479809396686,0.883399209486166
3,Riemannian TS 1-35Hz,LOSO,106,34,2080,1,45,0.9529860228716646,0.4666666666666667,0.9889190339359631,0.5099206349206349
3,Riemannian TS 1-35Hz,LOSO,106,35,2080,1,45,0.956586192291402,0.4666666666666667,0.9892146110480088,0.6758893280632412
3,Riemannian TS 1-35Hz,LOSO,106,36,2080,1,45,0.9576450656501483,0.4222222222222222,0.9903028052272385,0.38142292490118573
3,Riemannian TS 1-35Hz,LOSO,106,37,2080,1,45,0.9519271495129182,0.5333333333333333,0.9882118021916511,0.6225296442687747
3,Riemannian TS 1-35Hz,LOSO,106,38,2080,1,45,0.957433290978399,0.5111111111111111,0.9901036620809921,0.49011857707509887
3,Riemannian TS 1-35Hz,LOSO,106,39,2080,1,45,0.9540448962304109,0.5111111111111111,0.9877277587605043,0.5948616600790514
3,Riemannian TS 1-35Hz,LOSO,106,40,2080,1,45,0.9521389241846675,0.6,0.9881348281385455,0.6686507936507937
3,Riemannian TS 1-35Hz,LOSO,106,41,2080,1,45,0.9542566709021602,0.6,0.9886598679816238,0.5952380952380952
3,Riemannian TS 1-35Hz,LOSO,106,42,2080,1,45,0.950021177467175,0.7111111111111111,0.9874424027828587,0.8063241106719367
3,Riemannian TS 1-35Hz,LOSO,106,43,2080,1,45,0.952562473528166,0.5777777777777777,0.9876719627979075,0.758893280632411
3,Riemannian TS 1-35Hz,LOSO,106,44,2080,1,45,0.9508682761541719,0.6,0.9878089366445413,0.7509881422924901
3,Riemannian TS 1-35Hz,LOSO,106,45,2080,1,45,0.9546802202456586,0.5777777777777777,0.9883926456974317,0.6521739130434783
3,Riemannian TS 1-35Hz,LOSO,106,46,2080,1,45,0.9544684455739093,0.4222222222222222,0.9896614207697331,0.37747035573122534
3,Riemannian TS 1-35Hz,LOSO,106,47,2080,1,45,0.952562473528166,0.6222222222222222,0.988095633217622,0.6547619047619047
3,Riemannian TS 1-35Hz,LOSO,106,48,2080,1,45,0.9510800508259212,0.6222222222222222,0.9872595843760771,0.7648221343873518
3,Riemannian TS 1-35Hz,LOSO,106,49,2080,1,45,0.9521389241846675,0.5555555555555556,0.9878061601613239,0.7055335968379447
3,Riemannian TS 1-35Hz,LOSO,106,50,2080,1,45,0.9506565014824228,0.4888888888888889,0.9876057611573986,0.6541501976284585
3,Riemannian TS 1-35Hz,LOSO,106,51,2080,1,45,0.9521389241846675,0.5333333333333333,0.9882800635315786,0.5853174603174603
3,Riemannian TS 1-35Hz,LOSO,106,52,2080,1,45,0.9523506988564168,0.6444444444444445,0.9885463034011426,0.7003968253968255
3,Riemannian TS 1-35Hz,LOSO,106,53,2080,1,45,0.9504447268106735,0.7111111111111111,0.9873367305143657,0.8478260869565217
3,Riemannian TS 1-35Hz,LOSO,106,54,2080,1,45,0.9561626429479034,0.5111111111111111,0.9891818625445831,0.66600790513834
3,Riemannian TS 1-35Hz,LOSO,106,55,2080,1,45,0.9504447268106735,0.5777777777777777,0.9869146806174512,0.9229249011857708
3,Riemannian TS 1-35Hz,LOSO,106,56,2080,1,45,0.9523506988564168,0.4888888888888889,0.988968461043981,0.6600790513833992
3,Riemannian TS 1-35Hz,LOSO,106,57,2080,1,45,0.9540448962304109,0.4666666666666667,0.9887102813261975,0.5853174603174602
3,Riemannian TS 1-35Hz,LOSO,106,58,2080,1,45,0.9506565014824228,0.5333333333333333,0.9881937688029666,0.501984126984127
3,Riemannian TS 1-35Hz,LOSO,106,59,2080,1,45,0.9540448962304109,0.5333333333333333,0.9886324187228344,0.5972222222222222
3,Riemannian TS 1-35Hz,LOSO,106,60,2080,1,45,0.9527742481999153,0.7111111111111111,0.9877055121387615,0.699604743083004
3,Riemannian TS 1-35Hz,LOSO,106,61,2080,1,45,0.9523506988564168,0.7333333333333333,0.987797275018986,0.7371541501976285
3,Riemannian TS 1-35Hz,LOSO,106,62,2080,1,45,0.9531977975434138,0.5111111111111111,0.9880212706409179,0.7806324110671936
