method,subject,n_test_epochs,test_acc,test_auc
PSD sensorimotor,1,45,0.4888888888888889,0.5968379446640316
PSD sensorimotor,2,45,0.5111111111111111,0.6284584980237153
PSD sensorimotor,3,45,0.4666666666666667,0.4426877470355731
PSD sensorimotor,4,45,0.5555555555555556,0.6264822134387351
PSD sensorimotor,5,45,0.6444444444444445,0.6488095238095238
PSD sensorimotor,6,45,0.5333333333333333,0.3333333333333333
PSD sensorimotor,7,45,0.7777777777777778,0.8616600790513834
PSD sensorimotor,8,45,0.5333333333333333,0.5256916996047432
PSD sensorimotor,9,45,0.4222222222222222,0.43253968253968256
PSD sensorimotor,10,45,0.5777777777777777,0.5178571428571428
PSD sensorimotor,11,45,0.5777777777777777,0.575098814229249
PSD sensorimotor,12,45,0.6,0.621031746031746
PSD sensorimotor,13,45,0.5777777777777777,0.6758893280632411
PSD sensorimotor,14,45,0.4666666666666667,0.47628458498023707
PSD sensorimotor,15,45,0.6444444444444445,0.6739130434782609
PSD sensorimotor,16,45,0.4222222222222222,0.41106719367588934
PSD sensorimotor,17,45,0.5111111111111111,0.5790513833992095
PSD sensorimotor,18,45,0.5777777777777777,0.5968379446640316
PSD sensorimotor,19,45,0.5777777777777777,0.5711462450592886
PSD sensorimotor,20,45,0.4888888888888889,0.5296442687747036
PSD sensorimotor,21,45,0.6444444444444445,0.7400793650793651
PSD sensorimotor,22,45,0.6222222222222222,0.5573122529644269
PSD sensorimotor,23,45,0.4888888888888889,0.5217391304347826
PSD sensorimotor,24,45,0.6,0.642292490118577
PSD sensorimotor,25,45,0.5333333333333333,0.5395256916996047
PSD sensorimotor,26,45,0.5333333333333333,0.5734126984126984
PSD sensorimotor,27,45,0.5111111111111111,0.507905138339921
PSD sensorimotor,28,45,0.5333333333333333,0.5553359683794467
PSD sensorimotor,29,45,0.8666666666666667,0.9229249011857708
PSD sensorimotor,30,45,0.5777777777777777,0.5515873015873015
PSD sensorimotor,31,45,0.7555555555555555,0.8003952569169961
PSD sensorimotor,32,45,0.5777777777777777,0.7281746031746031
PSD sensorimotor,33,45,0.6666666666666666,0.7944664031620554
PSD sensorimotor,34,45,0.7333333333333333,0.7757936507936508
PSD sensorimotor,35,45,0.6,0.6521739130434782
PSD sensorimotor,36,45,0.4888888888888889,0.4683794466403163
PSD sensorimotor,37,45,0.4888888888888889,0.5849802371541503
PSD sensorimotor,38,45,0.5111111111111111,0.4624505928853755
PSD sensorimotor,39,45,0.4666666666666667,0.4920948616600791
PSD sensorimotor,40,45,0.6222222222222222,0.5773809523809523
PSD sensorimotor,41,45,0.6,0.5912698412698413
PSD sensorimotor,42,45,0.7555555555555555,0.8636363636363636
PSD sensorimotor,43,45,0.6666666666666666,0.7865612648221344
PSD sensorimotor,44,45,0.5555555555555556,0.6126482213438735
PSD sensorimotor,45,45,0.4888888888888889,0.5652173913043479
PSD sensorimotor,46,45,0.5333333333333333,0.642292490118577
PSD sensorimotor,47,45,0.4222222222222222,0.29960317460317454
PSD sensorimotor,48,45,0.4888888888888889,0.5019762845849802
PSD sensorimotor,49,45,0.4888888888888889,0.4703557312252965
PSD sensorimotor,50,45,0.4666666666666667,0.45849802371541504
PSD sensorimotor,51,45,0.5555555555555556,0.501984126984127
PSD sensorimotor,52,45,0.7555555555555555,0.7857142857142856
PSD sensorimotor,53,45,0.5777777777777777,0.6679841897233202
PSD sensorimotor,54,45,0.6888888888888889,0.8675889328063241
PSD sensorimotor,55,45,0.6444444444444445,0.683794466403162
PSD sensorimotor,56,45,0.5777777777777777,0.6877470355731226
PSD sensorimotor,57,45,0.6222222222222222,0.5714285714285714
PSD sensorimotor,58,45,0.6,0.5317460317460317
PSD sensorimotor,59,45,0.5111111111111111,0.39682539682539686
PSD sensorimotor,60,45,0.7555555555555555,0.8142292490118577
PSD sensorimotor,61,45,0.5333333333333333,0.47035573122529645
PSD sensorimotor,62,45,0.5555555555555556,0.6442687747035573
PSD sensorimotor,63,45,0.4888888888888889,0.49209486166007904
PSD sensorimotor,64,45,0.6666666666666666,0.6739130434782609
PSD sensorimotor,65,45,0.6666666666666666,0.6984126984126984
PSD sensorimotor,66,45,0.37777777777777777,0.32806324110671936
PSD sensorimotor,67,45,0.4444444444444444,0.46047430830039526
PSD sensorimotor,68,45,0.4666666666666667,0.5592885375494071
PSD sensorimotor,69,45,0.6,0.6765873015873016
PSD sensorimotor,70,45,0.4,0.4150197628458498
PSD sensorimotor,71,45,0.4222222222222222,0.5256916996047432
PSD sensorimotor,72,45,0.8666666666666667,0.9090909090909092
PSD sensorimotor,73,45,0.6666666666666666,0.6778656126482214
PSD sensorimotor,74,45,0.5111111111111111,0.5674603174603174
PSD sensorimotor,75,45,0.6,0.709486166007905
PSD sensorimotor,76,45,0.6,0.6877470355731226
PSD sensorimotor,77,45,0.4222222222222222,0.46031746031746035
PSD sensorimotor,78,45,0.4888888888888889,0.4169960474308301
PSD sensorimotor,79,45,0.5555555555555556,0.5909090909090909
PSD sensorimotor,80,45,0.4888888888888889,0.38735177865612647
PSD sensorimotor,81,45,0.4666666666666667,0.4387351778656126
PSD sensorimotor,82,45,0.5333333333333333,0.47430830039525695
PSD sensorimotor,83,45,0.6,0.5770750988142292
PSD sensorimotor,84,45,0.6222222222222222,0.6600790513833992
PSD sensorimotor,85,45,0.7111111111111111,0.8320158102766799
PSD sensorimotor,86,45,0.5555555555555556,0.575098814229249
PSD sensorimotor,87,45,0.5333333333333333,0.49011857707509876
PSD sensorimotor,89,45,0.5111111111111111,0.5476190476190476
PSD sensorimotor,90,45,0.5111111111111111,0.5138339920948616
PSD sensorimotor,91,45,0.5555555555555556,0.5474308300395258
PSD sensorimotor,93,45,0.7111111111111111,0.650197628458498
PSD sensorimotor,94,45,0.6,0.6778656126482213
PSD sensorimotor,95,45,0.4666666666666667,0.4525691699604743
PSD sensorimotor,96,45,0.4,0.3517786561264822
PSD sensorimotor,97,45,0.6666666666666666,0.7391304347826086
PSD sensorimotor,98,45,0.5555555555555556,0.5
PSD sensorimotor,99,45,0.5111111111111111,0.6067193675889329
PSD sensorimotor,101,45,0.4666666666666667,0.35375494071146246
PSD sensorimotor,102,45,0.5111111111111111,0.47430830039525695
PSD sensorimotor,103,45,0.5777777777777777,0.5770750988142292
PSD sensorimotor,104,42,0.42857142857142855,0.36507936507936506
PSD sensorimotor,105,45,0.4888888888888889,0.549407114624506
PSD sensorimotor,106,45,0.5333333333333333,0.5158730158730159
PSD sensorimotor,107,45,0.5333333333333333,0.503968253968254
PSD sensorimotor,108,45,0.6,0.7094861660079052
PSD sensorimotor,109,45,0.4888888888888889,0.5434782608695652
PSD all channels,1,45,0.6444444444444445,0.7529644268774704
PSD all channels,2,45,0.6,0.7312252964426877
PSD all channels,3,45,0.4444444444444444,0.3814229249011858
PSD all channels,4,45,0.5111111111111111,0.6541501976284585
PSD all channels,5,45,0.5333333333333333,0.6507936507936508
PSD all channels,6,45,0.4888888888888889,0.3849206349206349
PSD all channels,7,45,0.7777777777777778,0.883399209486166
PSD all channels,8,45,0.5777777777777777,0.6284584980237155
PSD all channels,9,45,0.4222222222222222,0.47619047619047616
PSD all channels,10,45,0.4222222222222222,0.3888888888888889
PSD all channels,11,45,0.5333333333333333,0.6719367588932806
PSD all channels,12,45,0.6,0.6111111111111112
PSD all channels,13,45,0.6444444444444445,0.66600790513834
PSD all channels,14,45,0.4888888888888889,0.5296442687747036
PSD all channels,15,45,0.5777777777777777,0.6679841897233202
PSD all channels,16,45,0.5333333333333333,0.4565217391304348
PSD all channels,17,45,0.5111111111111111,0.6146245059288538
PSD all channels,18,45,0.5333333333333333,0.5810276679841897
PSD all channels,19,45,0.6666666666666666,0.7312252964426877
PSD all channels,20,45,0.4444444444444444,0.4762845849802372
PSD all channels,21,45,0.5111111111111111,0.6388888888888888
PSD all channels,22,45,0.5555555555555556,0.5830039525691699
PSD all channels,23,45,0.5555555555555556,0.6086956521739131
PSD all channels,24,45,0.5777777777777777,0.6561264822134387
PSD all channels,25,45,0.4444444444444444,0.4841897233201581
PSD all channels,26,45,0.6666666666666666,0.7003968253968254
PSD all channels,27,45,0.5333333333333333,0.4782608695652174
PSD all channels,28,45,0.4888888888888889,0.46047430830039526
PSD all channels,29,45,0.6888888888888889,0.8774703557312253
PSD all channels,30,45,0.5333333333333333,0.5853174603174602
PSD all channels,31,45,0.7777777777777778,0.8873517786561266
PSD all channels,32,45,0.6,0.7619047619047619
PSD all channels,33,45,0.6222222222222222,0.7391304347826088
PSD all channels,34,45,0.5777777777777777,0.6646825396825397
PSD all channels,35,45,0.6666666666666666,0.683794466403162
PSD all channels,36,45,0.6888888888888889,0.66600790513834
PSD all channels,37,45,0.5333333333333333,0.5711462450592886
PSD all channels,38,45,0.4888888888888889,0.5
PSD all channels,39,45,0.5111111111111111,0.4861660079051384
PSD all channels,40,45,0.5333333333333333,0.5535714285714286
PSD all channels,41,45,0.6444444444444445,0.6547619047619048
PSD all channels,42,45,0.5555555555555556,0.800395256916996
PSD all channels,43,45,0.5333333333333333,0.6936758893280632
PSD all channels,44,45,0.6,0.7094861660079052
PSD all channels,45,45,0.5333333333333333,0.5948616600790514
PSD all channels,46,45,0.4888888888888889,0.5711462450592887
PSD all channels,47,45,0.3111111111111111,0.33333333333333337
PSD all channels,48,45,0.6666666666666666,0.6857707509881423
PSD all channels,49,45,0.6,0.7114624505928854
PSD all channels,50,45,0.5111111111111111,0.5474308300395259
PSD all channels,51,45,0.5333333333333333,0.5535714285714286
PSD all channels,52,45,0.4888888888888889,0.5436507936507936
PSD all channels,53,45,0.6888888888888889,0.7549407114624507
PSD all channels,54,45,0.7333333333333333,0.8972332015810277
PSD all channels,55,45,0.6222222222222222,0.7312252964426877
PSD all channels,56,45,0.6888888888888889,0.7865612648221344
PSD all channels,57,45,0.6444444444444445,0.6944444444444444
PSD all channels,58,45,0.6,0.5912698412698413
PSD all channels,59,45,0.5333333333333333,0.4146825396825397
PSD all channels,60,45,0.5555555555555556,0.7312252964426877
PSD all channels,61,45,0.5333333333333333,0.6067193675889327
PSD all channels,62,45,0.6,0.6067193675889329
PSD all channels,63,45,0.4888888888888889,0.616600790513834
PSD all channels,64,45,0.5777777777777777,0.6442687747035573
PSD all channels,65,45,0.6666666666666666,0.6825396825396826
PSD all channels,66,45,0.4222222222222222,0.4703557312252964
PSD all channels,67,45,0.5333333333333333,0.48221343873517786
PSD all channels,68,45,0.5111111111111111,0.6245059288537549
PSD all channels,69,45,0.4444444444444444,0.4305555555555555
PSD all channels,70,45,0.6,0.616600790513834
PSD all channels,71,45,0.5555555555555556,0.6086956521739131
PSD all channels,72,45,0.8444444444444444,0.899209486166008
PSD all channels,73,45,0.37777777777777777,0.4920948616600791
PSD all channels,74,45,0.6,0.6448412698412698
PSD all channels,75,45,0.5111111111111111,0.6798418972332015
PSD all channels,76,45,0.5555555555555556,0.5375494071146245
PSD all channels,77,45,0.5111111111111111,0.48015873015873023
PSD all channels,78,45,0.4888888888888889,0.46640316205533594
PSD all channels,79,45,0.4888888888888889,0.4426877470355731
PSD all channels,80,45,0.5111111111111111,0.4782608695652174
PSD all channels,81,45,0.5555555555555556,0.5988142292490118
PSD all channels,82,45,0.5111111111111111,0.5711462450592886
PSD all channels,83,45,0.5111111111111111,0.6264822134387352
PSD all channels,84,45,0.5555555555555556,0.6442687747035574
PSD all channels,85,45,0.7777777777777778,0.8735177865612648
PSD all channels,86,45,0.5111111111111111,0.4901185770750988
PSD all channels,87,45,0.6222222222222222,0.6205533596837944
